"Station","Date & Time (Summer)","Temperature (°C)"
"Yotvata 01/1999-06/2025","01-01-2021 03:00","13"
"Yotvata 01/1999-06/2025","01-01-2021 06:00","11.8"
"Yotvata 01/1999-06/2025","01-01-2021 09:00","13.1"
"Yotvata 01/1999-06/2025","01-01-2021 12:00","20.7"
"Yotvata 01/1999-06/2025","01-01-2021 15:00","22.2"
"Yotvata 01/1999-06/2025","01-01-2021 18:00","19.8"
"Yotvata 01/1999-06/2025","01-01-2021 21:00","16.3"
"Yotvata 01/1999-06/2025","02-01-2021 00:00","14.2"
"Yotvata 01/1999-06/2025","02-01-2021 03:00","13.5"
"Yotvata 01/1999-06/2025","02-01-2021 06:00","12.4"
"Yotvata 01/1999-06/2025","02-01-2021 09:00","13.7"
"Yotvata 01/1999-06/2025","02-01-2021 12:00","20.7"
"Yotvata 01/1999-06/2025","02-01-2021 15:00","22.7"
"Yotvata 01/1999-06/2025","02-01-2021 18:00","20.8"
"Yotvata 01/1999-06/2025","02-01-2021 21:00","15.9"
"Yotvata 01/1999-06/2025","03-01-2021 00:00","13.8"
"Yotvata 01/1999-06/2025","03-01-2021 03:00","14"
"Yotvata 01/1999-06/2025","03-01-2021 06:00","13.4"
"Yotvata 01/1999-06/2025","03-01-2021 09:00","13.3"
"Yotvata 01/1999-06/2025","03-01-2021 12:00","19.8"
"Yotvata 01/1999-06/2025","03-01-2021 15:00","23"
"Yotvata 01/1999-06/2025","03-01-2021 18:00","21.1"
"Yotvata 01/1999-06/2025","03-01-2021 21:00","16.7"
"Yotvata 01/1999-06/2025","04-01-2021 00:00","14.6"
"Yotvata 01/1999-06/2025","04-01-2021 03:00","13.5"
"Yotvata 01/1999-06/2025","04-01-2021 06:00","13.2"
"Yotvata 01/1999-06/2025","04-01-2021 09:00","13.4"
"Yotvata 01/1999-06/2025","04-01-2021 12:00","20.2"
"Yotvata 01/1999-06/2025","04-01-2021 15:00","23.7"
"Yotvata 01/1999-06/2025","04-01-2021 18:00","21.5"
"Yotvata 01/1999-06/2025","04-01-2021 21:00","18.1"
"Yotvata 01/1999-06/2025","05-01-2021 00:00","15.6"
"Yotvata 01/1999-06/2025","05-01-2021 03:00","15"
"Yotvata 01/1999-06/2025","05-01-2021 06:00","15.3"
"Yotvata 01/1999-06/2025","05-01-2021 09:00","15"
"Yotvata 01/1999-06/2025","05-01-2021 12:00","21.7"
"Yotvata 01/1999-06/2025","05-01-2021 15:00","24.3"
"Yotvata 01/1999-06/2025","05-01-2021 18:00","22.1"
"Yotvata 01/1999-06/2025","05-01-2021 21:00","16.7"
"Yotvata 01/1999-06/2025","06-01-2021 00:00","15.8"
"Yotvata 01/1999-06/2025","06-01-2021 03:00","12.9"
"Yotvata 01/1999-06/2025","06-01-2021 06:00","13.6"
"Yotvata 01/1999-06/2025","06-01-2021 09:00","14.6"
"Yotvata 01/1999-06/2025","06-01-2021 12:00","21"
"Yotvata 01/1999-06/2025","06-01-2021 15:00","23.9"
"Yotvata 01/1999-06/2025","06-01-2021 18:00","21.8"
"Yotvata 01/1999-06/2025","06-01-2021 21:00","18.6"
"Yotvata 01/1999-06/2025","07-01-2021 00:00","17.4"
"Yotvata 01/1999-06/2025","07-01-2021 03:00","15.1"
"Yotvata 01/1999-06/2025","07-01-2021 06:00","14.6"
"Yotvata 01/1999-06/2025","07-01-2021 09:00","14.7"
"Yotvata 01/1999-06/2025","07-01-2021 12:00","21.6"
"Yotvata 01/1999-06/2025","07-01-2021 15:00","24.2"
"Yotvata 01/1999-06/2025","07-01-2021 18:00","21.9"
"Yotvata 01/1999-06/2025","07-01-2021 21:00","17"
"Yotvata 01/1999-06/2025","08-01-2021 00:00","17.2"
"Yotvata 01/1999-06/2025","08-01-2021 03:00","16.5"
"Yotvata 01/1999-06/2025","08-01-2021 06:00","13.5"
"Yotvata 01/1999-06/2025","08-01-2021 09:00","16"
"Yotvata 01/1999-06/2025","08-01-2021 12:00","21.4"
"Yotvata 01/1999-06/2025","08-01-2021 15:00","23.5"
"Yotvata 01/1999-06/2025","08-01-2021 18:00","21.5"
"Yotvata 01/1999-06/2025","08-01-2021 21:00","17.6"
"Yotvata 01/1999-06/2025","09-01-2021 00:00","17"
"Yotvata 01/1999-06/2025","09-01-2021 03:00","16.4"
"Yotvata 01/1999-06/2025","09-01-2021 06:00","15.9"
"Yotvata 01/1999-06/2025","09-01-2021 09:00","15.9"
"Yotvata 01/1999-06/2025","09-01-2021 12:00","20.7"
"Yotvata 01/1999-06/2025","09-01-2021 15:00","23.6"
"Yotvata 01/1999-06/2025","09-01-2021 18:00","21.3"
"Yotvata 01/1999-06/2025","09-01-2021 21:00","17.2"
"Yotvata 01/1999-06/2025","10-01-2021 00:00","15.7"
"Yotvata 01/1999-06/2025","10-01-2021 03:00","14.9"
